100000	20.00	10.00	136399.33	136470.33	136510.69	10.00	174793.35	174864.26	174901.22	
50000	40.00	20.00	137500.43	138195.24	138235.23	20.00	175553.73	175618.00	175655.73	
20000	99.99	50.00	137541.53	137600.11	137630.71	50.00	176089.08	176153.67	176182.13	
10000	199.98	99.99	138115.00	138163.00	138193.11	99.99	174844.91	174902.90	174928.22	
5000	399.96	199.98	135829.62	135881.25	135932.03	199.99	175466.33	176197.61	176221.77	
2000	999.94	499.99	137454.83	137502.04	137529.37	499.97	174061.50	174114.17	174140.90	
1000	1993.44	999.93	137588.72	137641.63	137664.47	1000.21	174023.43	175346.88	175379.63	
500	4000.50	2000.01	137675.62	138319.51	138418.90	1999.19	173989.78	174039.54	219207.35	
200	10011.75	5005.99	136598.47	136674.45	454976.44	5003.70	174771.53	174846.09	469897.43	
100	14046.06	7002.70	137243.53	664468.99	930622.37	6934.09	174061.39	669059.41	1003325.51	
